,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,1.889331521209327,p_2,0.1,START,0,b_start,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
1,RLRAM,2,0,1.889331521209327,p_2,0.1,running,0,b_1,,i1,7.295290810547956,
2,RLRAM,2,0,7.2167473441742445,p_2,0.1,START,1,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
3,RLRAM,2,0,7.295290810547956,p_2,0.1,gateway,0,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
4,RLRAM,2,0,7.295290810547956,p_2,0.1,running,1,b_1,,i1,7.574624818357731,
5,RLRAM,2,0,7.295290810547956,p_2,0.1,running,0,b_3,,i3,8.801050744253338,
6,RLRAM,2,0,7.574624818357731,p_2,0.1,gateway,1,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
7,RLRAM,2,0,7.574624818357731,p_2,0.1,running,1,b_2,,i2,8.658601700668292,
8,RLRAM,2,0,8.658601700668292,p_2,0.1,running,1,b_4,,i4,9.511130563067013,
9,RLRAM,2,0,9.511130563067013,p_2,0.1,running,0,b_4,,i4,13.847050174608576,
10,RLRAM,2,0,9.511130563067013,p_2,0.1,running,1,b_5,,i5,11.096709786120154,
11,RLRAM,2,0,10.452214232559482,p_1,0.1,START,2,a_start,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
12,RLRAM,2,0,10.452214232559482,p_1,0.1,running,2,a_1,,int1,11.939570876003657,
13,RLRAM,2,0,11.096709786120154,p_2,0.1,gateway,1,XOR_b2,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
