,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,1.889331521209327,p_2,0.1,START,0,b_start,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
1,RLRAM,2,0,1.889331521209327,p_2,0.1,running,0,b_1,,int1,10.658998812803105,
2,RLRAM,2,0,7.2167473441742445,p_2,0.1,START,1,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
3,RLRAM,2,0,10.452214232559482,p_1,0.1,START,2,a_start,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
4,RLRAM,2,0,10.658998812803105,p_2,0.1,gateway,0,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
5,RLRAM,2,0,10.658998812803105,p_2,0.1,running,1,b_1,,int1,15.873479719047655,
6,RLRAM,2,0,10.658998812803105,p_2,0.1,running,0,b_3,,int3,11.96514528207628,
7,RLRAM,2,0,11.279945172019916,p_2,0.1,START,3,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'b_18'}",,,
8,RLRAM,2,0,11.96514528207628,p_2,0.1,running,0,b_4,,int4,14.595383611282053,
9,RLRAM,2,0,13.832228794205868,p_1,0.1,START,4,a_start,"{'priority': 'a_2', 'priority2': 'a_18', 'department': 'a_1', 'or_sub_2': 'a_5', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_1', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
10,RLRAM,2,0,14.595383611282053,p_2,0.1,running,0,b_5,,int5,20.39571613768321,
11,RLRAM,2,0,14.851540878596003,p_2,0.1,START,5,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'p2_END'}",,,
12,RLRAM,2,0,15.873479719047655,p_2,0.1,gateway,1,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
13,RLRAM,2,0,15.873479719047655,p_1,0.1,running,2,a_1,,int1,20.741657316614155,
14,RLRAM,2,0,15.873479719047655,p_2,0.1,running,1,b_3,,int3,18.27939025805959,
15,RLRAM,2,0,16.092318973948142,p_2,0.1,START,6,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_18'}",,,
