,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,1,0,2.8711732178734084,p_1,0.1,START,0,a_start,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
1,RLRAM,1,0,2.8711732178734084,p_1,0.1,running,0,a_1,,int1,3.2708998757189103,
2,RLRAM,1,0,3.2708998757189103,p_1,0.1,gateway,0,XOR_1,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
3,RLRAM,1,0,3.2708998757189103,p_1,0.1,running,0,a_3,,int3,3.8350687528995775,
4,RLRAM,1,0,3.8350687528995775,p_1,0.1,running,0,a_3_1,,int4,4.726340567051015,
5,RLRAM,1,0,4.726340567051015,p_1,0.1,gateway,0,XOR_3_1,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
6,RLRAM,1,0,4.726340567051015,p_1,0.1,running,0,a_12,,int20,5.030667067643311,
7,RLRAM,1,0,5.030667067643311,p_1,0.1,gateway,0,XOR_6,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
8,RLRAM,1,0,5.030667067643311,p_1,0.1,running,0,a_12_2,,int22,5.197031295040473,
9,RLRAM,1,0,5.197031295040473,p_1,0.1,running,0,a_14,,int26,5.913348826403787,
10,RLRAM,1,0,5.913348826403787,p_1,0.1,gateway,0,XOR_quality,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
11,RLRAM,1,0,5.913348826403787,p_1,0.1,running,0,q_1,,int27,6.202286493321066,
12,RLRAM,1,0,6.051615882040638,p_1,0.1,START,1,a_start,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'r_2', 'or_sub_2': 'a_21', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_2', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
13,RLRAM,1,0,6.051615882040638,p_1,0.1,running,1,a_1,,int1,10.654829031417936,
14,RLRAM,1,0,6.202286493321066,p_1,0.1,gateway,0,XOR_escalation,"{'priority': 'a_4', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_10', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
15,RLRAM,1,0,6.202286493321066,p_1,0.1,running,0,e_1,,int29,6.551733562639318,
