,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,4.320563332732424,p_1,0.2,START,0,a_start,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_9', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
1,RLRAM,2,0,4.320563332732424,p_1,0.2,running,0,a_1,,int1,5.998955786629113,
2,RLRAM,2,0,5.626791729247826,p_2,0.2,START,1,b_start,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'b_17'}",,,
3,RLRAM,2,0,5.998955786629113,p_1,0.2,gateway,0,XOR_1,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_9', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
4,RLRAM,2,0,5.998955786629113,p_2,0.2,running,1,b_1,,int1,6.251055221986585,
5,RLRAM,2,0,5.998955786629113,p_1,0.2,running,0,a_3,,int3,8.127211242502131,
6,RLRAM,2,0,6.251055221986585,p_2,0.2,gateway,1,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_13', 'needs_review': 'b_12', 'review': 'b_17'}",,,
7,RLRAM,2,0,7.26814330559379,p_2,0.2,START,2,b_start,"{'case_type': 'b_3', 'severity': 'b_7', 'severity2': 'b_14', 'needs_review': 'b_12', 'review': 'b_18'}",,,
8,RLRAM,2,0,7.26814330559379,p_2,0.2,running,2,b_1,,int1,9.44942693055827,
9,RLRAM,2,0,8.127211242502131,p_2,0.2,running,1,b_3,,int3,9.019339240946625,
10,RLRAM,2,0,8.127211242502131,p_1,0.2,running,0,a_3_1,,int7,9.067023278696853,
11,RLRAM,2,0,9.019339240946625,p_2,0.2,running,1,b_4,,int4,10.298047866921998,
12,RLRAM,2,0,9.067023278696853,p_1,0.2,gateway,0,XOR_3_1,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_9', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
13,RLRAM,2,0,9.067023278696853,p_1,0.2,running,0,a_6,,int6,9.396678843790301,
14,RLRAM,2,0,9.396678843790301,p_1,0.2,gateway,0,AND_block_1,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_9', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
15,RLRAM,2,0,9.396678843790301,p_1,0.2,running,0,a6_diag,,int7,9.657728908523003,
16,RLRAM,2,0,9.396678843790301,p_1,0.2,running,0,a6_log,,int8,9.656900934570388,
17,RLRAM,2,0,9.396678843790301,p_1,0.2,running,0,a6_notify,,int9,9.8747106884683,
18,RLRAM,2,0,9.44942693055827,p_2,0.2,gateway,2,XOR_b1,"{'case_type': 'b_3', 'severity': 'b_7', 'severity2': 'b_14', 'needs_review': 'b_12', 'review': 'b_18'}",,,
19,RLRAM,2,0,9.44942693055827,p_2,0.2,running,2,b_3,,int3,10.01271310020374,
20,RLRAM,2,0,9.656900934570388,p_1,0.2,gateway,0,JOIN_block_1,,,,5.336337601837964
21,RLRAM,2,0,9.657728908523003,p_1,0.2,gateway,0,JOIN_block_1,,,,5.337165575790579
