,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,1.010344743,p_2,0.5,START,0,2_start,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
1,RLRAM,2,0,1.010344743,p_2,0.5,running,0,2_submit_request,,1employee1,1.035894426,
2,RLRAM,2,0,1.035894426,p_2,0.5,running,0,2_check_request,,X_SHARED,1.235416928,
3,RLRAM,2,0,1.235416928,p_2,0.5,gateway,0,2_XOR_admin_decision,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
4,RLRAM,2,0,1.235416928,p_2,0.5,running,0,2_check_budget_approval,,X_SHARED,1.944013257,
5,RLRAM,2,0,1.286496256,p_1,0.5,START,1,1_start,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
6,RLRAM,2,0,1.286496256,p_1,0.5,running,1,1_submit_request,,1employee1,2.515720653,
7,RLRAM,2,0,1.944013257,p_2,0.5,gateway,0,2_XOR_budget_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
8,RLRAM,2,0,1.944013257,p_2,0.5,running,0,2_supervisor_approve,,1supervisor2,2.567855887,
9,RLRAM,2,0,2.515720653,p_1,0.5,running,1,1_check_request,,1X_SHARED,2.667808294,
10,RLRAM,2,0,2.567855887,p_2,0.5,running,0,2_handle_payment,,12accounting0,3.042261243,
11,RLRAM,2,0,2.667808294,p_1,0.5,gateway,1,1_XOR_admin_decision,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
12,RLRAM,2,0,2.667808294,p_1,0.5,running,1,1_check_budget_approval,,1X_SHARED,3.068032584,
13,RLRAM,2,0,3.042261243,p_2,0.5,gateway,0,2_XOR_payment_check,"{'2_approval_flow': '2_check_budget_approval', '2_budget_check': '2_supervisor_approve', '3_final_payment_check': '2_END'}",,,
14,RLRAM,2,0,3.042261243,p_2,0.5,COMPLETE,0,2_END,,,,2.0319165
15,RLRAM,2,0,3.068032584,p_1,0.5,gateway,1,1_XOR_budget_check,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
16,RLRAM,2,0,3.068032584,p_1,0.5,running,1,1_budget_approve,,X_SHARED,3.108012996,
17,RLRAM,2,0,3.108012996,p_1,0.5,running,1,1_supervisor_approve,,X_SHARED,3.661622498,
18,RLRAM,2,0,3.465539713,p_1,0.5,START,2,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_handle_payment'}",,,
19,RLRAM,2,0,3.465539713,p_1,0.5,running,2,1_submit_request,,1employee,4.283694857,
20,RLRAM,2,0,3.661622498,p_1,0.5,running,1,1_handle_payment,,X_SHARED,4.88095207,
21,RLRAM,2,0,4.283694857,p_1,0.5,running,2,1_check_request,,1X_SHARED,4.325911644,
22,RLRAM,2,0,4.325911644,p_1,0.5,gateway,2,1_XOR_admin_decision,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_handle_payment'}",,,
23,RLRAM,2,0,4.325911644,p_1,0.5,running,2,1_check_budget_approval,,1X_SHARED,4.633377435,
24,RLRAM,2,0,4.454054584,p_1,0.5,START,3,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
25,RLRAM,2,0,4.454054584,p_1,0.5,running,3,1_submit_request,,1employee1,5.211355741,
26,RLRAM,2,0,4.633377435,p_1,0.5,gateway,2,1_XOR_budget_check,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_handle_payment'}",,,
27,RLRAM,2,0,4.88095207,p_1,0.5,gateway,1,1_XOR_payment_check,"{'1_approval_flow': '1_submit_request', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
28,RLRAM,2,0,4.88095207,p_1,0.5,running,2,1_supervisor_approve,,X_SHARED,5.092540735,
29,RLRAM,2,0,4.88095207,p_1,0.5,COMPLETE,1,1_END,,,,3.594455814
30,RLRAM,2,0,4.976578018,p_1,0.5,START,4,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_budget_approve', '1_final_payment_check': '1_END'}",,,
31,RLRAM,2,0,5.092540735,p_1,0.5,running,4,1_submit_request,,1employee,5.270858001,
32,RLRAM,2,0,5.092540735,p_1,0.5,running,2,1_handle_payment,,12accounting1,10.05573767,
33,RLRAM,2,0,5.211355741,p_1,0.5,running,3,1_check_request,,1X_SHARED,5.371926722,
34,RLRAM,2,0,5.300587626,p_1,0.5,START,5,1_start,"{'1_approval_flow': '1_check_budget_approval', '1_budget_check': '1_supervisor_approve', '1_final_payment_check': '1_END'}",,,
35,RLRAM,2,0,5.300587626,p_1,0.5,running,4,1_check_request,,12admin1,6.685338173,
36,RLRAM,2,0,5.300587626,p_1,0.5,running,5,1_submit_request,,1employee,7.058626024,
