,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,2,0,1.5114652169674616,p_2,0.5,START,0,b_start,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
1,RLRAM,2,0,1.5114652169674616,p_2,0.5,running,0,b_1,,i1,6.917424506306091,
2,RLRAM,2,0,5.773397875339397,p_2,0.5,START,1,b_start,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
3,RLRAM,2,0,6.917424506306091,p_2,0.5,gateway,0,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
4,RLRAM,2,0,6.917424506306091,p_2,0.5,running,1,b_1,,i1,7.196758514115865,
5,RLRAM,2,0,6.917424506306091,p_2,0.5,running,0,b_3,,i3,8.423184440011473,
6,RLRAM,2,0,7.196758514115865,p_2,0.5,gateway,1,XOR_b1,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
7,RLRAM,2,0,7.196758514115865,p_2,0.5,running,1,b_2,,i2,8.280735396426426,
8,RLRAM,2,0,8.280735396426426,p_2,0.5,running,1,b_4,,i4,9.133264258825147,
9,RLRAM,2,0,8.361771386047586,p_1,0.5,START,2,a_start,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
10,RLRAM,2,0,8.361771386047586,p_1,0.5,running,2,a_1,,int1,11.05265314744187,
11,RLRAM,2,0,9.040303791733871,p_2,0.5,START,3,b_start,"{'case_type': 'b_3', 'severity': 'b_6', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'p2_END'}",,,
12,RLRAM,2,0,9.040303791733871,p_2,0.5,running,3,b_1,,i1,9.120894853426035,
13,RLRAM,2,0,9.120894853426035,p_2,0.5,gateway,3,XOR_b1,"{'case_type': 'b_3', 'severity': 'b_6', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'p2_END'}",,,
14,RLRAM,2,0,9.120894853426035,p_2,0.5,running,3,b_2,,i2,9.257171017334583,
15,RLRAM,2,0,9.133264258825147,p_2,0.5,running,1,b_5,,i5,10.219781941940994,
16,RLRAM,2,0,9.133264258825147,p_2,0.5,running,0,b_4,,i4,11.180199112767797,
17,RLRAM,2,0,10.219781941940994,p_2,0.5,gateway,1,XOR_b2,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
18,RLRAM,2,0,10.219781941940994,p_2,0.5,running,1,b_6,,i6,11.245165030317125,
19,RLRAM,2,0,11.05265314744187,p_1,0.5,gateway,2,XOR_1,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
20,RLRAM,2,0,11.05265314744187,p_1,0.5,running,2,a_3,,int3,11.332898411754028,
21,RLRAM,2,0,11.116409219122135,p_1,0.5,START,4,a_start,"{'priority': 'a_2', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
22,RLRAM,2,0,11.116409219122135,p_1,0.5,running,4,a_1,,int1,11.479569759511104,
23,RLRAM,2,0,11.180199112767797,p_2,0.5,running,3,b_4,,i4,11.28403024065807,
24,RLRAM,2,0,11.180199112767797,p_2,0.5,running,0,b_5,,i5,11.938099757826132,
25,RLRAM,2,0,11.245165030317125,p_2,0.5,running,1,b_10,,i9,11.759948004080943,
26,RLRAM,2,0,11.332898411754028,p_1,0.5,running,2,a_3_1,,int4,12.96261333668001,
27,RLRAM,2,0,11.479569759511104,p_1,0.5,gateway,4,XOR_1,"{'priority': 'a_2', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
28,RLRAM,2,0,11.479569759511104,p_1,0.5,running,4,a_2,,int2,11.626349754299158,
29,RLRAM,2,0,11.626349754299158,p_1,0.5,running,4,a_5,,int5,13.306815805918163,
30,RLRAM,2,0,11.759948004080943,p_2,0.5,gateway,1,XOR_b3,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
31,RLRAM,2,0,11.759948004080943,p_2,0.5,running,1,b_11,,i10,11.967155440417494,
32,RLRAM,2,0,11.938099757826132,p_2,0.5,gateway,0,XOR_b2,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
33,RLRAM,2,0,11.938099757826132,p_2,0.5,running,3,b_5,,i5,12.581362857789529,
34,RLRAM,2,0,11.938099757826132,p_2,0.5,running,0,b_8,,i8,12.6228255925941,
35,RLRAM,2,0,11.967155440417494,p_2,0.5,running,1,b_9,,i11,14.024522693180652,
36,RLRAM,2,0,12.581362857789529,p_2,0.5,gateway,3,XOR_b2,"{'case_type': 'b_3', 'severity': 'b_6', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'p2_END'}",,,
37,RLRAM,2,0,12.6228255925941,p_2,0.5,running,3,b_8,,i8,12.84883872497506,
38,RLRAM,2,0,12.6228255925941,p_2,0.5,running,0,b_10,,i9,12.824698692004516,
39,RLRAM,2,0,12.824698692004516,p_2,0.5,gateway,0,XOR_b3,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
40,RLRAM,2,0,12.824698692004516,p_2,0.5,running,0,b_12,,i12,13.667600674589231,
41,RLRAM,2,0,12.84883872497506,p_2,0.5,running,3,b_10,,i9,14.094813396991448,
42,RLRAM,2,0,12.96261333668001,p_1,0.5,gateway,2,XOR_3_1,"{'priority': 'a_2', 'priority2': 'p1_END', 'department': 'a_8', 'or_sub_2': 'a_5', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_2', 'report_needed': 'r_skip'}",,,
43,RLRAM,2,0,12.96261333668001,p_1,0.5,running,2,a_6,,int6,15.021408755101206,
44,RLRAM,2,0,13.306815805918163,p_1,0.5,gateway,4,XOR_2,"{'priority': 'a_2', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
45,RLRAM,2,0,13.306815805918163,p_1,0.5,running,4,a_1,,int1,13.458077847471362,
46,RLRAM,2,0,13.458077847471362,p_1,0.5,gateway,4,XOR_1,"{'priority': 'a_2', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_22', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_12', 'or_sub_3': 'a_12_2', 'post_processing': 'p1_END', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_skip'}",,,
47,RLRAM,2,0,13.458077847471362,p_1,0.5,running,4,a_3,,int3,13.835235849910598,
48,RLRAM,2,0,13.667600674589231,p_2,0.5,gateway,0,XOR_b4,"{'case_type': 'b_2', 'severity': 'b_8', 'severity2': 'b_14', 'needs_review': 'b_11', 'review': 'b_17'}",,,
49,RLRAM,2,0,13.667600674589231,p_2,0.5,COMPLETE,0,p2_END,,,,12.156135457621769
50,RLRAM,2,0,13.805774500674884,p_1,0.5,START,5,a_start,"{'priority': 'a_3', 'priority2': 'p1_END', 'department': 'a_10', 'or_sub_2': 'a_21', 'request_type': 'a_12', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_1', 'post_processing': 'a_19_1', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
51,RLRAM,2,0,13.805774500674884,p_1,0.5,running,5,a_1,,int1,17.55418603583477,
52,RLRAM,2,0,13.835235849910598,p_1,0.5,running,4,a_3_1,,int4,15.20504774037514,
53,RLRAM,2,0,14.024522693180652,p_2,0.5,gateway,1,XOR_b4,"{'case_type': 'b_2', 'severity': 'b_7', 'severity2': 'p2_END', 'needs_review': 'b_11', 'review': 'b_17'}",,,
54,RLRAM,2,0,14.024522693180652,p_2,0.5,COMPLETE,1,p2_END,,,,8.251124817841255
