,method,num_processes,simulation_run,timestamp,process,l,status,case_id,activity,data,resource,end_time,cycle_time
0,RLRAM,1,0,3.4137875368593877,p_1,0.5,START,0,a_start,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_18', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_2', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
1,RLRAM,1,0,3.4137875368593877,p_1,0.5,running,0,a_1,,int1,3.8835606651195187,
2,RLRAM,1,0,3.8835606651195187,p_1,0.5,gateway,0,XOR_1,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_18', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_2', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
3,RLRAM,1,0,3.8835606651195187,p_1,0.5,running,0,a_2,,int2,3.9343588552961135,
4,RLRAM,1,0,3.9343588552961135,p_1,0.5,running,0,a_5,,int5,4.0196596722880935,
5,RLRAM,1,0,4.0196596722880935,p_1,0.5,gateway,0,XOR_2,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_18', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_2', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
6,RLRAM,1,0,4.0196596722880935,p_1,0.5,running,0,a_1,,int1,4.4323783918103326,
7,RLRAM,1,0,4.4323783918103326,p_1,0.5,gateway,0,XOR_1,"{'priority': 'a_3', 'priority2': 'a_18', 'department': 'a_8', 'or_sub_2': 'a_18', 'request_type': 'a_13', 'loop1': 'p1_END', 'loop2': 'a_15', 'loop3': 'a_12', 'loop4': 'a_14', 'or_sub_1': 'a_6', 'or_sub_3': 'a_12_2', 'post_processing': 'a_19_2', 'escalation_level': 'e_1', 'quality_flag': 'q_1', 'report_needed': 'r_1'}",,,
8,RLRAM,1,0,4.4323783918103326,p_1,0.5,running,0,a_4,,int4,6.3177844841375235,
9,RLRAM,1,0,6.3177844841375235,p_1,0.5,running,0,a_7,,int11,7.693214911326669,
