run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.0228434024646829,0.0001445516853109811,1135.3021605694578,1569.7813730239868,models_lstm_xes\lstm_BPIC15_1_GEN_run1.pt
2,0.02364492535818054,0.00014950651762894067,1135.1232252309865,1862.9717943668365,models_lstm_xes\lstm_BPIC15_1_GEN_run2.pt
3,0.010119226530407775,6.484047637848607e-05,1135.1222558537695,2312.803295612335,models_lstm_xes\lstm_BPIC15_1_GEN_run3.pt
4,0.012924556657649534,8.25866920188605e-05,1135.1295004901606,2045.3105714321136,models_lstm_xes\lstm_BPIC15_1_GEN_run4.pt
5,0.012924556657649534,8.25866920188605e-05,1135.1472086718386,2864.071668624878,models_lstm_xes\lstm_BPIC15_1_GEN_run5.pt
6,0.02364492535818054,0.00014950651762894067,1135.1087730464942,1764.8977608680725,models_lstm_xes\lstm_BPIC15_1_GEN_run6.pt
7,0.02364492535818054,0.00014950651762894067,1135.1130398142416,3248.923675775528,models_lstm_xes\lstm_BPIC15_1_GEN_run7.pt
8,0.0228434024646829,0.0001445516853109811,1135.210413716257,2677.925573348999,models_lstm_xes\lstm_BPIC15_1_GEN_run8.pt
9,0.018935978358881875,0.0005007504671818574,1128.418060845901,2966.3665566444397,models_lstm_xes\lstm_BPIC15_1_GEN_run9.pt
10,0.012924556657649534,8.25866920188605e-05,1135.090215393154,2016.7520570755005,models_lstm_xes\lstm_BPIC15_1_GEN_run10.pt
