run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.021001946521872757,0.00021427018529667538,717.1478623242917,2345.050269126892,models_lstm_xes\lstm_BPIC15_1_STD_run1.pt
2,0.0,0.0,717.4117605815063,1526.333645105362,models_lstm_xes\lstm_BPIC15_1_STD_run2.pt
3,0.024587644708533963,0.00024997500249975,716.6858350519256,2397.7769536972046,models_lstm_xes\lstm_BPIC15_1_STD_run3.pt
4,0.03780350373937097,0.0012109364955998046,716.9266842743673,2329.846876859665,models_lstm_xes\lstm_BPIC15_1_STD_run4.pt
5,0.024587644708533963,0.00024997500249975,716.6248590799552,4200.728501319885,models_lstm_xes\lstm_BPIC15_1_STD_run5.pt
6,0.021104395041491652,0.00021529380288284674,716.2549740273943,2551.8545479774475,models_lstm_xes\lstm_BPIC15_1_STD_run6.pt
7,0.024587644708533963,0.00024997500249975,716.8270742303005,2884.39120221138,models_lstm_xes\lstm_BPIC15_1_STD_run7.pt
8,0.021104395041491652,0.00021579176722982035,717.9083874089719,3826.452717781067,models_lstm_xes\lstm_BPIC15_1_STD_run8.pt
9,0.0325786292388075,0.0010722359910450932,647.2545275206162,6613.672452449799,models_lstm_xes\lstm_BPIC15_1_STD_run9.pt
10,0.024587644708533963,0.00024997500249975,717.1285751086164,4512.691874504089,models_lstm_xes\lstm_BPIC15_1_STD_run10.pt
