run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.8580757509795385,0.4278089392593426,103.78927055006125,2651.823519229889,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run1.pt
2,0.8617762298650413,0.4155474408982899,103.79413180379217,2530.5838434696198,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run2.pt
3,0.8615585546364823,0.41481710791360943,103.84417496218427,1380.0853695869446,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run3.pt
4,0.8589464518937745,0.3984601443430598,106.74182642695628,375.64778757095337,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run4.pt
5,0.8614497170222029,0.4141559913734834,104.13552209550355,1229.3919208049774,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run5.pt
6,0.8616673922507618,0.4143968898379969,103.77022849803431,1067.259289741516,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run6.pt
7,0.8616673922507618,0.4151199165413767,103.80477410999585,977.6985421180725,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run7.pt
8,0.8593818023508925,0.39964912109369843,103.70996229723258,1006.3145437240601,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run8.pt
9,0.8537222464083587,0.38615267160794364,104.334796579609,849.6259896755219,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run9.pt
10,0.8605790161079669,0.41189726885910893,103.77060870643629,1050.5460577011108,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_GEN_run10.pt
