run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.8930659983291562,0.5771383790195157,102.09552634349338,2069.0029673576355,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run1.pt
2,0.8926482873851295,0.5768342529280852,102.15584272090848,4522.714772701263,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run2.pt
3,0.2097953216374269,0.03468277945619335,117.01633637211769,1204.254032611847,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run3.pt
4,0.8926482873851295,0.5762118059674692,102.04809186013813,3270.564477920532,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run4.pt
5,0.2097953216374269,0.03468277945619335,117.01635827077456,581.2115123271942,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run5.pt
6,0.8929615705931495,0.5769471827078008,102.02890963103633,2081.227417945862,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run6.pt
7,0.8930659983291562,0.5771383790195157,102.1095771865179,2169.5882585048676,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run7.pt
8,0.8932748538011696,0.5780698701362159,102.09523976953999,3412.8163511753082,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run8.pt
9,0.8924394319131161,0.5755720323124723,102.35452640942358,1370.345522403717,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run9.pt
10,0.893170426065163,0.5776111788500246,102.05803139964037,2628.7877752780914,models_lstm_xes\lstm_BPIC20_DomesticDeclarations_STD_run10.pt
