run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.7251902587519026,0.2954728409632139,574.3450970292718,589.6837575435638,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run1.pt
2,0.8461187214611872,0.393087853178867,563.7675135647406,313.4070301055908,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run2.pt
3,0.830441400304414,0.3997618507411424,522.1462642645083,461.93916726112366,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run3.pt
4,0.8337138508371386,0.4014759760860293,524.9450991729342,369.9429409503937,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run4.pt
5,0.09269406392694064,0.0051412579619850825,816.1065711996953,178.7393889427185,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run5.pt
6,0.7212328767123287,0.2733079327493404,570.0425790741826,234.69237565994263,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run6.pt
7,0.7385844748858448,0.2573045609269877,571.5934493320436,187.76083302497864,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run7.pt
8,0.8293759512937595,0.3888663499963108,568.1970334241823,233.28460574150085,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run8.pt
9,0.11681887366818873,0.006339373289969543,816.0510209463948,177.7585802078247,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run9.pt
10,0.09619482496194826,0.0053183879898681344,816.0081125533826,178.00483322143555,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_GEN_run10.pt
