run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.8887608069164266,0.5527583352339145,348.7167679196111,2734.8884632587433,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run1.pt
2,0.11844380403458213,0.008146195469050403,473.32682050713674,1853.5166804790497,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run2.pt
3,0.10381844380403459,0.011226680065754764,472.18919810482464,1797.9184670448303,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run3.pt
4,0.11844380403458213,0.008146195469050403,473.29793661544016,2400.909743785858,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run4.pt
5,0.8721902017291067,0.4767516958395349,353.23072030513146,931.6418445110321,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run5.pt
6,0.8435878962536023,0.475421722276609,361.1119784984856,1286.8099298477173,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run6.pt
7,0.8836455331412104,0.5441062533343834,355.00142704584886,1358.5166838169098,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run7.pt
8,0.6592939481268012,0.3139621496695764,347.86514037187703,624.2908916473389,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run8.pt
9,0.8544668587896254,0.442425609874352,348.1645431310003,903.6164815425873,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run9.pt
10,0.8517291066282421,0.4945866567971813,356.52164589668,1478.1413624286652,models_lstm_xes\lstm_BPIC20_InternationalDeclarations_STD_run10.pt
