run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.5420289855072464,0.17575187969924813,3636.2328841071667,22.539433240890503,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run1.pt
2,0.5420289855072464,0.17575187969924813,3637.708095872622,21.641008377075195,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run2.pt
3,0.5420289855072464,0.17575187969924813,3636.671301993357,22.410677671432495,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run3.pt
4,0.5420289855072464,0.17575187969924813,3673.2414131068267,22.477193593978882,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run4.pt
5,0.5420289855072464,0.17575187969924813,3635.5032893098387,22.003891468048096,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run5.pt
6,0.5420289855072464,0.17575187969924813,3635.564680651928,22.526177406311035,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run6.pt
7,0.5420289855072464,0.17575187969924813,3670.8779088278793,26.13177251815796,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run7.pt
8,0.5420289855072464,0.17575187969924813,3636.8299180344575,22.489945888519287,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run8.pt
9,0.5420289855072464,0.17575187969924813,3635.397004163024,21.733201026916504,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run9.pt
10,0.5420289855072464,0.17575187969924813,3636.2795890343255,22.489463806152344,models_lstm_xes\lstm_BPI_Challenge_2013C_GEN_run10.pt
